172.202.75.66 - - [21/Apr/2026:00:14:05 +0000] "GET /css.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:05 +0000] "GET /php.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:06 +0000] "GET /wp-Blogs.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:06 +0000] "GET /wp-content/index.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:06 +0000] "GET /wp-content/plugins/beteng88/ws83.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:06 +0000] "GET /ws83.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:07 +0000] "GET /file61.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:07 +0000] "GET /sadcut1.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:07 +0000] "GET /y.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:08 +0000] "GET /666.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:08 +0000] "GET /7.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:08 +0000] "GET /wp-config-sample.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:09 +0000] "GET /log.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:09 +0000] "GET /a5.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:09 +0000] "GET /aa.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:10 +0000] "GET /bolt.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:10 +0000] "GET /x.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:10 +0000] "GET /jga.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:10 +0000] "GET /k.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:11 +0000] "GET /vx.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:11 +0000] "GET /ws77.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:11 +0000] "GET /2.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:12 +0000] "GET /abcd.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:12 +0000] "GET /wp-content/plugins/admin.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:12 +0000] "GET /asd.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:13 +0000] "GET /default.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:13 +0000] "GET /gettest.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:13 +0000] "GET /install.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:14 +0000] "GET /tfm.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:14 +0000] "GET /ws81.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:14 +0000] "GET /222.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:14 +0000] "GET /t.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:15 +0000] "GET /wp-admin/maint/index.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:15 +0000] "GET /6xBAm3vODE05BSzkJZRAws.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:21 +0000] "GET /a.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:21 +0000] "GET /a1.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:22 +0000] "GET /onclickfuns.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:22 +0000] "GET /w.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:22 +0000] "GET /wp-admin/maint/about.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:22 +0000] "GET /wp-content/plugins/index.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:23 +0000] "GET /wp-good.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:23 +0000] "GET /.info.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:23 +0000] "GET /config.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:23 +0000] "GET /item.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:23 +0000] "GET /albin.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:24 +0000] "GET /alfa.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:24 +0000] "GET /autoload_classmap.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:24 +0000] "GET /av.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:24 +0000] "GET /dragonshell.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:25 +0000] "GET /f35.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:25 +0000] "GET /gg.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:25 +0000] "GET /gifclass.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:25 +0000] "GET /sql.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:26 +0000] "GET /up.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:26 +0000] "GET /wp-admin/css/colors/blue/index.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:26 +0000] "GET /wp-admin/about.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:26 +0000] "GET /function.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:27 +0000] "GET /66.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:27 +0000] "GET /init.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:27 +0000] "GET /byp.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:27 +0000] "GET /index.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:28 +0000] "GET /index/chosen.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:29 +0000] "GET /about/chosen.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:29 +0000] "GET /as/chosen.php HTTP/1.1" 500 52 "-" "-" "-"
